Name,Armor Class,Hit Points,Speed,STR,DEX,CON,INT,WIS,CHA,Saving Throws,Skills,Damage Immunities,Damage Resistances,Damage Vulnerabilities,Condition Immunities,Senses,Languages,Challenge,attacks&moves,Hit Dice,Armor Note
Adult Copper Dragon,18,184,"40 ft., climb 40 ft., fly 80 ft.",23,12,21,18,15,17,"Dex +6, Con +10, Wis +7, Cha +8","Deception +8, Perception +12, Stealth +6",acid,None,None,None,"lindsight 60 ft., darkvision 120 ft.","Common, Draconic","14 (11,500 XP)","{'Legendary Resistance (3/Day)': 'If the dragon fails a saving throw, it can choose to succeed instead.', 'Multiattack': 'The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.', 'Bite': 'Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage.', 'Claw': 'Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.', 'Tail': 'Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.', 'Frightful Presence': ""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."", 'Breath Weapons (Recharge 5-6)': ""The dragon uses one of the following breath weapons.\n\nAcid Breath. The dragon exhales acid in an 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 54 (12d8) acid damage on a failed save, or half as much damage on a successful one.\n\nSlowing Breath. The dragon exhales gas in a 60-foot cone. Each creature in that area must succeed on a DC 18 Constitution saving throw. On a failed save, the creature can't use reactions, its speed is halved, and it can't make more than one attack on its turn. In addition, the creature can use either an action or a bonus action on its turn, but not both. These effects last for 1 minute. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself with a successful save."", 'Legendary Actions': ""The adult copper dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature's turn. The adult copper dragon regains spent legendary actions at the start of its turn."", 'Detect': 'The dragon makes a Wisdom (Perception) check.', 'Tail Attack': 'The dragon makes a tail attack.', 'Wing Attack (Costs 2 Actions)': 'The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.'}",16d12+80,natural armor
Adult Gold Dragon,19,256,"40 ft., fly 80 ft., swim 40 ft.",27,14,25,16,15,24,"Dex +8, Con +13, Wis +8, Cha +13","Insight +8, Perception +14, Persuasion +13, Stealth +8",fire,None,None,None,"lindsight 60 ft., darkvision 120 ft.","Common, Draconic","17 (18,000 XP)","{'Amphibious': 'The dragon can breathe air and water.', 'Legendary Resistance (3/Day)': 'If the dragon fails a saving throw, it can choose to succeed instead.', 'Multiattack': 'The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.', 'Bite': 'Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) piercing damage.', 'Claw': 'Melee Weapon Attack: +14 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) slashing damage.', 'Tail': 'Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage.', 'Frightful Presence': ""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 21 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."", 'Breath Weapons (Recharge 5-6)': 'The dragon uses one of the following breath weapons.\n\nFire Breath. The dragon exhales fire in a 60-foot cone. Each creature in that area must make a DC 21 Dexterity saving throw, taking 66 (12d10) fire damage on a failed save, or half as much damage on a successful one.\n\nWeakening Breath. The dragon exhales gas in a 60-foot cone. Each creature in that area must succeed on a DC 21 Strength saving throw or have disadvantage on Strength-based attack rolls, Strength checks, and Strength saving throws for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.', 'Legendary Actions': ""The adult gold dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature's turn. The adult gold dragon regains spent legendary actions at the start of its turn."", 'Detect': 'The dragon makes a Wisdom (Perception) check.', 'Tail Attack': 'The dragon makes a tail attack.', 'Wing Attack (Costs 2 Actions)': 'The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.'}",19d12+133,natural armor
Adult Green Dragon,19,207,"40 ft., fly 80 ft., swim 40 ft.",23,12,21,18,15,17,"Dex +6, Con +10, Wis +7, Cha +8","Deception +8, Insight +7, Perception +12, Persuasion +8, Stealth +6",poison,None,None,poisoned,"lindsight 60 ft., darkvision 120 ft.","Common, Draconic","15 (13,000 XP)","{'Amphibious': 'The dragon can breathe air and water.', 'Legendary Resistance (3/Day)': 'If the dragon fails a saving throw, it can choose to succeed instead.', 'Multiattack': 'The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.', 'Bite': 'Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 7 (2d6) poison damage.', 'Claw': 'Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.', 'Tail': 'Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.', 'Frightful Presence': ""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours ."", 'Poison Breath (Recharge 5-6)': 'The dragon exhales poisonous gas in a 60-foot cone. Each creature in that area must make a DC 18 Constitution saving throw, taking 56 (16d6) poison damage on a failed save, or half as much damage on a successful one.', 'Legendary Actions': ""The adult green dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature's turn. The adult green dragon regains spent legendary actions at the start of its turn."", 'Detect': 'The dragon makes a Wisdom (Perception) check.', 'Tail Attack': 'The dragon makes a tail attack.', 'Wing Attack (Costs 2 Actions)': 'The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.'}",18d12+90,natural armor
Adult Red Dragon,19,256,"40 ft., climb 40 ft., fly 80 ft.",27,10,25,16,13,21,"Dex +6, Con +13, Wis +7, Cha +11","Perception +13, Stealth +6",fire,None,None,None,"lindsight 60 ft., darkvision 120 ft.","Common, Draconic","17 (18,000 XP)","{'Legendary Resistance (3/Day)': 'If the dragon fails a saving throw, it can choose to succeed instead.', 'Multiattack': 'The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.', 'Bite': 'Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) piercing damage plus 7 (2d6) fire damage.', 'Claw': 'Melee Weapon Attack: +14 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) slashing damage.', 'Tail': 'Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage.', 'Frightful Presence': ""Each creature of the dragon's choice that is within 120 ft. of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."", 'Fire Breath (Recharge 5-6)': 'The dragon exhales fire in a 60-foot cone. Each creature in that area must make a DC 21 Dexterity saving throw, taking 63 (18d6) fire damage on a failed save, or half as much damage on a successful one.', 'Lair Actions': ""On initiative count 20 (losing initiative ties), the dragon takes a lair action to cause one of the following effects: the dragon can't use the same effect two rounds in a row:"", 'Legendary Actions': ""The adult red dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature's turn. The adult red dragon regains spent legendary actions at the start of its turn."", 'Detect': 'The dragon makes a Wisdom (Perception) check.', 'Tail Attack': 'The dragon makes a tail attack.', 'Wing Attack (Costs 2 Actions)': 'The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.'}",19d12+133,natural armor
Adult Silver Dragon,19,243,"40 ft., fly 80 ft.",27,10,25,16,13,21,"Dex +5, Con +12, Wis +6, Cha +10","Arcana +8, History +8, Perception +11, Stealth +5",cold,None,None,None,"lindsight 60 ft., darkvision 120 ft.","Common, Draconic","16 (15,000 XP)","{'Legendary Resistance (3/Day)': 'If the dragon fails a saving throw, it can choose to succeed instead.', 'Multiattack': 'The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.', 'Bite': 'Melee Weapon Attack: +13 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) piercing damage.', 'Claw': 'Melee Weapon Attack: +13 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) slashing damage.', 'Tail': 'Melee Weapon Attack: +13 to hit, reach 15 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage.', 'Frightful Presence': ""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 18 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."", 'Breath Weapons (Recharge 5-6)': 'The dragon uses one of the following breath weapons.\n\nCold Breath. The dragon exhales an icy blast in a 60-foot cone. Each creature in that area must make a DC 20 Constitution saving throw, taking 58 (13d8) cold damage on a failed save, or half as much damage on a successful one.\n\nParalyzing Breath. The dragon exhales paralyzing gas in a 60-foot cone. Each creature in that area must succeed on a DC 20 Constitution saving throw or be paralyzed for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.', 'Legendary Actions': ""The adult silver dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature's turn. The adult silver dragon regains spent legendary actions at the start of its turn."", 'Detect': 'The dragon makes a Wisdom (Perception) check.', 'Tail Attack': 'The dragon makes a tail attack.', 'Wing Attack (Costs 2 Actions)': 'The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.'}",18d12+126,natural armor
Adult White Dragon,18,200,"40 ft., burrow 30 ft., fly 80 ft., swim 40 ft.",22,10,22,8,12,12,"Dex +5, Con +11, Wis +6, Cha +6","Perception +11, Stealth +5",cold,None,None,None,"lindsight 60 ft., darkvision 120 ft.","Common, Draconic","13 (10,000 XP)","{'Ice Walk': ""The dragon can move across and climb icy surfaces without needing to make an ability check. Additionally, difficult terrain composed of ice or snow doesn't cost it extra moment."", 'Legendary Resistance (3/Day)': 'If the dragon fails a saving throw, it can choose to succeed instead.', 'Multiattack': 'The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.', 'Bite': 'Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 4 (1d8) cold damage.', 'Claw': 'Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.', 'Tail': 'Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.', 'Frightful Presence': ""Each creature of the dragon's choice that is within 120 ft. of the dragon and aware of it must succeed on a DC 14 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."", 'Cold Breath (Recharge 5-6)': 'The dragon exhales an icy blast in a 60-foot cone. Each creature in that area must make a DC 19 Constitution saving throw, taking 54 (12d8) cold damage on a failed save, or half as much damage on a successful one.', 'Legendary Actions': ""The adult white dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature's turn. The adult white dragon regains spent legendary actions at the start of its turn."", 'Detect': 'The dragon makes a Wisdom (Perception) check.', 'Tail Attack': 'The dragon makes a tail attack.', 'Wing Attack (Costs 2 Actions)': 'The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.'}",16d12+96,natural armor
Aerisi Kalinoth,13,66,30 ft.,8,16,12,17,10,16,,"Arcana +6, History +6, Perception +3",None,lightning,None,None,darkvision 60 ft.,"Auran, Common, Elvish","7 (2,900 XP)","{'Fey Ancestry': ""Aerisi has advantage on saving throws against being charmed, and magic can't put her to sleep."", 'Howling Defeat': 'When Aerisi drops to 0 hit points, her body disappears in a howling whirlwind that disperses quickly and harmlessly. Anything she is wearing or carrying is left behind.', 'Legendary Resistance (2/Day)': 'If Aerisi fails a saving throw, she can choose to succeed instead.', 'Spellcasting': 'Aerisi is a 12th-level spellcaster. Her spellcasting ability is Intelligence (spell save DC 14, +6 to hit with spell attacks). Aerisi has the following wizard spells prepared: \n\nCantrips (at will): gust, mage hand, message, prestidigitation, ray of frost, shocking grasp\n1st level (4 slots): charm person, feather fall, mage armor, thunderwave\n2nd level (3 slots): dust devil, gust of wind, invisibility\n3rd level (3 slots): fly, gaseous form, lightning bolt\n4th level (3 slots): ice storm, storm sphere\n5th level (2 slots): cloudkill, seeming (cast each day) \n6th level (1 slot): chain lightning', 'Windvane': 'Melee or Ranged Weapon Attack: +9 to hit, reach 5 ft. or range 20 ft./60 ft., one target. Hit: 9 (1d6 + 6) piercing damage, or 10 (1d8 + 6) piercing damage if used with two hands to make a melee attack, plus 3 (1d6) lightning damage.\n\nSource:Prince of the Apocalypse'}",12d8+12,16 with mage armor
Air Elemental,15,90,fly 90 ft. (hover),14,20,14,6,10,6,,,poison,"lightning, thunder, bludgeoning, piercing, and slashing from nonmagical weapons",None,"exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious",darkvision 60 ft.,Auran,"5 (1,800 XP)","{'Air Form': ""The elemental can enter a hostile creature's space and stop there. It can move through a space as narrow as 1 inch wide without squeezing."", 'Multiattack': 'The elemental makes two slam attacks.', 'Slam': 'Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) bludgeoning damage.', 'Whirlwind (Recharge 4-6)': ""Each creature in the elemental's space must make a DC 13 Strength saving throw. On a failure, a target takes 15 (3d8 + 2) bludgeoning damage and is flung up 20 feet away from the elemental in a random direction and knocked prone. If a thrown target strikes an object, such as a wall or floor, the target takes 3 (1d6) bludgeoning damage for every 10 feet it was thrown. If the target is thrown at another creature, that creature must succeed on a DC 13 Dexterity saving throw or take the same damage and be knocked prone.\n\nIf the saving throw is successful, the target takes half the bludgeoning damage and isn't flung away or knocked prone.""}",12d10+24,None
Air Elemental Myrmidon,18,117,"30 ft., fly 30 ft.",18,14,14,9,10,10,,,poison,"lightning, thunder; bludgeoning, piercing, and slashing from nonmagical weapons",None,"paralyzed, petrified, poisoned, prone",darkvision 60 ft.,"Auran, one language of its creator's choice","7 (2,900 XP)","{'Magic Weapons': ""The myrmidon's weapon attacks are magical."", 'Multiattack': 'The myrmidon makes three flail attacks.', 'Flail': 'Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) bludgeoning damage.', 'Lightning Strike (Recharge 6)': ""The myrmidon makes one flail attack. If the attack hits, it deals an extra 18 (4d8) lightning damage, and the target must succeed on a DC 14 Constitution saving throw or be stunned until the end of the myrmidon's next turn.\n\nSource:Prince of the Apocalypse""}",18d8+36,plate
Alhoon,15,120,30 ft.,11,12,16,19,17,17,"Con +7, Int +8, Wis +7, Cha +7","Arcana +8, Deception +7, History +8, Insight +7, Perception +7, Stealth +5","poison; bludgeoning, piercing, and slashing from nonmagical attacks","cold, lightning, necrotic",None,"charmed, exhaustion, frightened, paralyzed, poisoned",truesight 120 ft.,"Deep Speech, Undercommon, telepathy 120 ft.","10 (5,900 XP)","{'Magic Resistance': 'The alhoon has advantage on saving throws against spells and other magical effects.', 'Innate Spellcasting (Psionics)': ""The alhoon's innate spellcasting ability is Intelligence (spell save DC 16). It can innately cast the following spells, requiring no components:\n\nAt will: detect thoughts, levitate\n\n1/day each: dominate monster, plane shift (self only)"", 'Spellcasting': ""The alhoon is a 12th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 16, +8 to hit with spell attacks). The alhoon has the following wizard spells prepared:\n\nCantrips (at will): chill touch, dancing lights, mage hand, prestidigitation, shocking grasp\n\n1st level (4 slots): detect magic, disguise self, magic missile, shield\n\n2nd level (3 slots): invisibility, mirror image, scorching ray\n\n3rd level (3 slots): counterspell, fly, lightning bolt\n\n4th level (3 slots): confusion, Evard's black tentacles, phantasmal killer\n\n5th level (2 slots): modify memory, wall of force\n\n6th level (1 slot): disintegrate, globe of invulnerability"", 'Turn Resistance': 'The alhoon has advantage on saving throws against any effect that turns undead.', 'Chilling Grasp': 'Melee Spell Attack: +8 to hit, reach 5 ft., one target. Hit: 10 (3d6) cold damage.', 'Mind Blast (Recharge 5-6)': ""The alhoon magically emits psychic energy in a 60-foot cone. Each creature in that area must succeed on a DC 16 Intelligence saving throw or take 22 (4d8+4) psychic damage and be stunned for 1 minute. A target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.\n\nSource:Volo's Guide to Monsters""}",16d8+48,natural armor
Allosaurus,15,60,60 ft.,19,13,17,2,12,5,,Perception +5,None,None,None,None,,,2 (450 XP),"{'Pounce': 'If the allosaurus moves at least 30 ft. straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 13 Strength saving throw or be knocked prone. If the target is prone, the allosaurus can make one bite attack against it as a bonus action.', 'Bite': 'Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 15 (2d10 + 4) piercing damage.', 'Claw': 'Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) slashing damage.'}",6d10+18,natural armor
Ambush Drake,13,22,30 ft.,13,15,14,4,11,6,,"Perception +4, Stealth +4",None,poison,None,None,darkvision 60 ft.,understands Draconic but can't speak it,1/2 (100 XP),"{'Pack Tactics': ""The drake has advantage on an attack roll against a creature if at least one of the drake's allies is within 5 feet of the creature and the ally isn't incapacitated."", 'Surprise Attack': 'If the drake surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 7 (2d6) damage from the attack.', 'Bite': 'Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) piercing damage.\n\nSource:Hoard of the Dragon Queen'}",4d6+8,natural armor
Ancient Black Dragon,22,367,"40 ft., fly 80 ft., swim 40 ft.",27,14,25,16,15,19,"Dex +9, Con +14, Wis +9, Cha +11","Perception +16, Stealth +9",acid,None,None,None,"lindsight 60 ft., darkvision 120 ft.","Common, Draconic","21 (33,000 XP)","{'Amphibious': 'The dragon can breathe air and water.', 'Legendary Resistance (3/Day)': 'If the dragon fails a saving throw, it can choose to succeed instead.', 'Multiattack': 'The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.', 'Bite': 'Melee Weapon Attack: +15 to hit, reach 15 ft., one target. Hit: 19 (2d10 + 8) piercing damage plus 9 (2d8) acid damage.', 'Claw': 'Melee Weapon Attack: +15 to hit, reach 10 ft., one target. Hit: 15 (2d6 + 8) slashing damage.', 'Tail': 'Melee Weapon Attack: +15 to hit, reach 20 ft ., one target. Hit: 17 (2d8 + 8) bludgeoning damage.', 'Frightful Presence': ""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."", 'Acid Breath (Recharge 5-6)': 'The dragon exhales acid in a 90-foot line that is 10 feet wide. Each creature in that line must make a DC 22 Dexterity saving throw, taking 67 (15d8) acid damage on a failed save, or half as much damage on a successful one.', 'Legendary Actions': ""The ancient black dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature's turn. The ancient black dragon regains spent legendary actions at the start of its turn."", 'Detect': 'The dragon makes a Wisdom (Perception) check.', 'Tail Attack': 'The dragon makes a tail attack.', 'Wing Attack (Costs 2 Actions)': 'The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 23 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.'}",21d20+147,natural armor
Ancient Blue Dragon,22,481,"40 ft., burrow 40 ft., fly 80 ft.",29,10,27,18,17,21,"Dex +7, Con +15, Wis +10, Cha +12","Perception +17, Stealth +7",lightning,None,None,None,"lindsight 60 ft., darkvision 120 ft.","Common, Draconic","23 (50,000 XP)","{'Multiattack': 'The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.', 'Bite': 'Melee Weapon Attack: +16 to hit, reach 15 ft., one target. Hit: 20 (2d10 + 9) piercing damage plus 11 (2d10) lightning damage.', 'Claw': 'Melee Weapon Attack: +16 to hit, reach 10 ft., one target. Hit: 16 (2d6 + 9) slashing damage.', 'Tail': 'Melee Weapon Attack: +16 to hit, reach 20 ft., one target. Hit: 18 (2d8 + 9) bludgeoning damage.', 'Frightful Presence': ""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 20 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."", 'Lightning Breath (Recharge 5-6)': 'The dragon exhales lightning in a 120-foot line that is 10 feet wide. Each creature in that line must make a DC 23 Dexterity saving throw, taking 88 (16d10) lightning damage on a failed save, or half as much damage on a successful one.', 'Legendary Actions': ""The ancient blue dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature's turn. The ancient blue dragon regains spent legendary actions at the start of its turn."", 'Detect': 'The dragon makes a Wisdom (Perception) check.', 'Tail Attack': 'The dragon makes a tail attack.', 'Wing Attack (Costs 2 Actions)': 'The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 24 Dexterity saving throw or take 16 (2d6 + 9) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.'}",26d20+208,natural armor
